"Age";"Genre";"Taille en cm";"Année d'étude";"Filière";"Pays de naissance";"Année d'obtention du baccalauréat ou équivalent";"Enseignements de spécialité en terminale (si bac à spécialités)";"Filière de votre bac si pas de spécialité";"Votre licence est...";"Temps de travail personnel (scolaire) la semaine dernière en heure";"Moyen de transport principal pour venir à la faculté au quotidien";"Temps de trajets en minutes pour venir à la faculté au quotidien";"Fumez-vous du tabac ?";"Rythme de consommation d'alcool";"Nombre de soirées par semaine en moyenne";"Vos phobies";"Plateforme d'accès aux jeux vidéos";"Système d'exploitation de votre téléphone";"Temps de possession votre téléphone actuel en année";"Système d'exploitation de votre ordinateur";"Temps de possession votre ordinateur actuel en année";"Support principal pour la prise de note en cours";"Matériels possédés";"Réseau social le plus utilisé";"Temps passé par jour sur les réseaux sociaux en heure";"Temps passé par jour sur votre téléphone en heure";"Principales sources d'information";"Quelle est la plus large chaîne de montagne du monde ?";"Quel est le nom de la femme noire qui a refusé de céder sa place à un homme blanc dans un bus en 1955 aux États-Unis ?";"Au cours de quel siècle, Cléopâtre, a-t-elle régné ?";"Quel naturaliste a révolutionné la biologie avec son ouvrage “L'Origine des espèces” paru en 1859 ?";"À quel mot correspond la définition suivante : répartition dans le temps d’une charge financière correspondant au remplacement d’un bien, machine, appareil, etc. ?";"Qui est Niki de Saint Phalle ?";"Combien de temps dure la rotation complète de la Lune autour de la Terre ?";"En quelle année est définitivement proclamée l’abolition de l’esclavage en France ?";"Qui a inventé l'expression ""la main invisible"" ?";"Quel écrivain et philosophe français a raconté l’histoire de Candide ?";"Avez-bien joué le jeu et répondu sans consulté de source d'information ?";"Nombre de réponses juste estimées";"spe_maths";"spe_SES";"spe_HGP";"spe_HLP";"spe_NSI";"spe_PC";"spe_autre";"spe_bacsansspe";"phobie_chien";"phobie_araignees";"phobie_foule";"phobie_veillir";"phobie_noir";"phobie_sang";"phobie_claustro";"phobie_sociale";"phobie_germe";"phobie_hauteur";"phobie_nombre";"jv_PC";"jv_playstation";"jv_xbox";"jv_nintendo";"jv_teltab";"jv_autre";"jv_nejouepas";"materiel_tel";"materiel_tablette";"materiel_ordinateur";"materiel_montreconnectee";"materiel_aucun";"infosource_journalpapier";"infosource_journal_inline";"infosource_autre_ecritinline";"infosource_télévision";"infosource_radio";"infosource_video";"infosource_RS";"infosource_autre";"Q1_montagne";"Q2_bus";"Q3_cleopatre";"Q4_origineespeces";"Q5_finance";"Q6_Niki";"Q7_lune";"Q8_esclavage";"Q9_main";"Q10_candide";"nb_bonnes_reponses";"surestimation"
20;"Féminin";171;"L3";"Économie";"France";2021;"Mathématiques   Autre(s) spécialité(s)";"Bac à spécialités";"... votre choix après une réorientation.";4;"en transport en commun (bus, tram, train)";25;"Non et je n'ai jamais vraiment fumé";"Jamais";0;"Peur des araignées   Peur de la foule   Phobie sociale";"PC   téléphone/tablette";"iOs";2;"Windows";2;"ordinateur";"téléphone   ordinateur";"Twitter";3;7;"journal en ligne   télévision   vidéo sur internet (youtube, twitch, etc.)   réseaux sociaux";"l'Himalaya";"Rosa Parks";"7e siècle avant JC";"Charles Darwin";"amortissement";"une peintre";"28 jours";1848;"Karl Marx";"Voltaire";"oui";4;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;3;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;1;1;0;1;1;1;1;1;0;1;8;-4
21;"Masculin";170;"L3";"Économie";"France";2020;NA;"S";"... votre choix après une réorientation.";2.5;"en transport en commun (bus, tram, train)";80;"Non et je n'ai jamais vraiment fumé";"Moins d'une fois par semaine";0;"Je n'ai peur de rien de cela.";"PC   téléphone/tablette";"Android";3.5;"Windows";5;"papier";"téléphone   ordinateur   montre connectée";"Instagram";1;2.5;"journal en ligne   radio   vidéo sur internet (youtube, twitch, etc.)";"la cordillère des Andes";"Rosa Parks";"1er siècle avant JC";"Charles Darwin";"amortissement";"une peintre";"28 jours";1848;"Adam Smith";"Voltaire";"oui";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;10;-3
21;"Masculin";170;"L3";"Économie";"France";2020;"Bac sans spécialité";"S";"... votre choix après une réorientation.";12;"en transport en commun (bus, tram, train)";15;"Non et je n'ai jamais vraiment fumé";"Moins d'une fois par mois";0;"Acrophobie, peur de la hauteur";"Playstation   Nintendo";"iOs";4;"Windows";4;"tablette";"téléphone   tablette   ordinateur";"Instagram";1.5;3;"réseaux sociaux";"la cordillère des Andes";"Rosa Parks";"1er siècle avant JC";"Charles Darwin";"amortissement";"une peintre";"28 jours";1848;"Adam Smith";"Molière";"oui";6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;9;-3
19;"Féminin";168;"L3";"Économie";"France";2021;"Mathématiques   Sciences économiques et sociales";"Bac à spécialités";"... votre premier choix d'orientation post-bac.";8;"en transport en commun (bus, tram, train)";15;"Non et je n'ai jamais vraiment fumé";"Jamais";0;"Peur des araignées   Peur de vieillir   Peur du sang";"Je ne joue pas aux jeux vidéos.";"iOs";0.5;"Windows";3;"ordinateur";"téléphone   ordinateur";"Instagram";1.5;2;"télévision   réseaux sociaux";"la cordillère des Andes";"Rosa Parks";"1er siècle avant JC";"Charles Darwin";"réévaluation d'actif";"une peintre";"28 jours";1848;"Adam Smith";"Voltaire";"oui";8;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;1;1;1;1;9;-1
22;"Masculin";177;"L3";"Économie";"France";2018;"Bac sans spécialité";"S";"... votre choix après une réorientation.";3;"en voiture à plusieurs";15;"Oui, régulièrement";"Environ une fois par semaine";1;"Peur des chiens";"Playstation   téléphone/tablette";"iOs";0.1;"Je n'ai pas d'ordinateur.";NA;"papier";"téléphone   tablette";"Instagram";2;3;"journal en ligne   autre sources écrite en ligne   vidéo sur internet (youtube, twitch, etc.)   réseaux sociaux";"la cordillère des Andes";"Rosa Parks";"5e siècle avant JC";"Charles Darwin";"amortissement";"une couturière";"28 jours";1755;"Adam Smith";"Voltaire";"oui";7;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;0;1;1;0;1;0;1;1;7;0
23;"Masculin";181;"L3";"Économie";"France";2018;"Mathématiques";"S";"... votre premier choix d'orientation post-bac.";3;"en voiture seul";15;"Oui, régulièrement";"Plusieurs fois par semaine";2;"Je n'ai peur de rien de cela.";"PC";"iOs";2;"Windows";5;"papier";"téléphone   ordinateur";"Twitter";1;1;"vidéo sur internet (youtube, twitch, etc.)   réseaux sociaux";"l'Himalaya";"Rosa Parks";"1er siècle avant JC";"Charles Darwin";"amortissement";"une actrice";"28 jours";1848;"Adam Smith";"Voltaire";"oui";6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;9;-3
21;"Féminin";171;"L3";"Économie";"France";2020;NA;"S";"... votre choix après une réorientation.";10;"en transport en commun (bus, tram, train)";5;"Non et je n'ai jamais vraiment fumé";"Plusieurs fois par semaine";2;"Peur des araignées";"Playstation   téléphone/tablette";"iOs";1;"Windows";3;"ordinateur";"téléphone   ordinateur   montre connectée";"Snapchat";2.5;4;"vidéo sur internet (youtube, twitch, etc.)   réseaux sociaux";"l'Himalaya";"Rosa Parks";"3e siècle avant JC";"Charles Darwin";"amortissement";"une peintre";"28 jours";1903;"Adam Smith";"Voltaire";"oui";6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1;0;1;1;8;-2
20;"Féminin";158;"L3";"Économie";"France";2021;"Mathématiques   Physique-chimie";"Bac à spécialités";"... votre choix après une réorientation.";3.5;"en transport en commun (bus, tram, train)";10;"Non et je n'ai jamais vraiment fumé";"Environ une fois par semaine";1;"Peur du sang   Claustrophobie";"Je ne joue pas aux jeux vidéos.";"iOs";1;"Windows";0.5;"ordinateur";"téléphone   ordinateur";"Instagram";1.5;4;"télévision   réseaux sociaux";"la cordillère des Andes";"Rosa Parks";"3e siècle avant JC";"Charles Darwin";"amortissement";"une peintre";"28 jours";1848;"Adam Smith";"Voltaire";"oui";8;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;1;1;1;1;1;1;9;-1
20;"Masculin";178;"L3";"Économie";"France";2020;NA;"S";"... votre premier choix d'orientation post-bac.";15;"en transport en commun (bus, tram, train)";80;"Oui, régulièrement";"Plusieurs fois par semaine";2;"Peur des araignées";"Playstation";"iOs";2.5;"Windows";3.5;"ordinateur";"téléphone   ordinateur";"Twitter";3;6;"télévision   réseaux sociaux";"la cordillère des Andes";"Mae Jemison";"3e siècle avant JC";"Charles Darwin";"amortissement";"une peintre";"21 jours";1903;"Adam Smith";"Molière";"oui";3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;1;0;5;-2
20;"Masculin";173;"L3";"Économie";"France";2021;"Mathématiques   Sciences économiques et sociales";"Bac à spécialités";"... votre premier choix d'orientation post-bac.";4;"en transport en commun (bus, tram, train)";25;"Non, j'ai arrêté";"Environ une fois par semaine";1;"Peur des araignées";"Playstation   téléphone/tablette";"iOs";0.75;"MacOS";2.5;"ordinateur";"téléphone   ordinateur";"Snapchat";3;5;"journal en ligne   télévision   vidéo sur internet (youtube, twitch, etc.)   réseaux sociaux";"l'Himalaya";"Rosa Parks";"5e siècle avant JC";"Georges-Louis Leclerc de Buffon";"provision";"une autrice";"28 jours";1848;"Adam Smith";"Rousseau";"oui";3;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;0;1;1;1;0;5;-2
